,transaction_date,description,amount,from_account,sub_category,category,c_or_d
0,2024-09-24,MICROSOFT*MICROSOFT 36 REDMOND WA,-2.99,bilt,subscriptions,flexible,expenditures
1,2024-09-19,Bill Pay Payment,1605.42,bilt,payment_confirmations,payment_confirmations,earnings
2,2024-09-18,SHAN RESTAURANT SAN JOSE CA,-39.31,bilt,dining,luxuries,expenditures
3,2024-09-08,GOOGLE *YOUTUBEPREMIUM 650-253-0000 CA,-22.99,bilt,subscriptions,flexible,expenditures
4,2024-09-05,DISH N DASH - MILPITAS MILPITAS CA,-20.95,bilt,dining,luxuries,expenditures
5,2024-09-04,TST*MYLAPORE - MILPITA MILPITAS CA,-89.75,bilt,dining,luxuries,expenditures
6,2024-09-03,LENSCRAFTERS 0206 SANTA CLARA CA,-152.46,bilt,shopping,luxuries,expenditures
7,2024-09-02,STARBUCKS STORE 03486 CORNING CA,-7.25,bilt,dining,luxuries,expenditures
8,2024-08-28,LYFT *2 RIDES 08-27 SAN FRANCISCOCA,-98.77,bilt,travel,luxuries,expenditures
9,2024-08-28,GOOGLE *GOOGLE ONE 650-253-0000 CA,-1.99,bilt,subscriptions,flexible,expenditures
10,2024-08-27,LYFT *3 RIDES 08-26 SAN FRANCISCOCA,-61.26,bilt,travel,luxuries,expenditures
11,2024-08-23,BPS*BILT REWARDS B1 NEW YORK NY,-1150.0,bilt,rent,mandatory_needs,expenditures
12,2024-08-22,Bill Pay Payment,1462.78,bilt,payment_confirmations,payment_confirmations,earnings
13,2024-08-21,LYFT *2 RIDES 08-19 SAN FRANCISCOCA,-47.92,bilt,travel,luxuries,expenditures
14,2024-08-16,LYFT *2 RIDES 08-15 SAN FRANCISCOCA,-26.84,bilt,travel,luxuries,expenditures
15,2024-08-14,LYFT *3 RIDES 08-12 SAN FRANCISCOCA,-61.85,bilt,travel,luxuries,expenditures
16,2024-08-08,GOOGLE *YOUTUBEPREMIUM 650-253-0000 CA,-22.99,bilt,subscriptions,flexible,expenditures
17,2024-08-03,LYFT *2 RIDES 08-01 SAN FRANCISCOCA,-33.98,bilt,travel,luxuries,expenditures
18,2024-08-01,LYFT *1 RIDE 07-31 SAN FRANCISCOCA,-14.99,bilt,travel,luxuries,expenditures
19,2024-07-31,LYFT *1 RIDE 07-30 SAN FRANCISCOCA,-10.99,bilt,travel,luxuries,expenditures
20,2024-07-30,LYFT *3 RIDES 07-29 SAN FRANCISCOCA,-62.48,bilt,travel,luxuries,expenditures
21,2024-07-28,GOOGLE *GOOGLE ONE 650-253-0000 CA,-1.99,bilt,subscriptions,flexible,expenditures
22,2024-07-26,Bill Pay Payment,1345.22,bilt,payment_confirmations,payment_confirmations,earnings
23,2024-07-26,LYFT *1 RIDE 07-25 SAN FRANCISCOCA,-13.76,bilt,travel,luxuries,expenditures
24,2024-07-25,LYFT *1 RIDE 07-24 SAN FRANCISCOCA,-14.99,bilt,travel,luxuries,expenditures
25,2024-07-23,BPS*BILT REWARDS B1 NEW YORK NY,-1150.0,bilt,rent,mandatory_needs,expenditures
26,2024-07-22,Interest Charge on Purchases,-25.64,bilt,additional_charges,luxuries,expenditures
27,2024-07-19,LYFT *1 RIDE 07-18 SAN FRANCISCOCA,-9.87,bilt,travel,luxuries,expenditures
28,2024-07-18,LYFT *1 RIDE 07-17 SAN FRANCISCOCA,-13.83,bilt,travel,luxuries,expenditures
29,2024-07-16,AUTOMATIC PAYMENT - THANK YOU,25.0,bilt,payment_confirmations,payment_confirmations,earnings
30,2024-07-16,LYFT *1 RIDE 07-15 SAN FRANCISCOCA,-13.97,bilt,travel,luxuries,expenditures
31,2024-07-12,LYFT *1 RIDE 07-11 SAN FRANCISCOCA,-13.95,bilt,travel,luxuries,expenditures
32,2024-07-08,GOOGLE *YOUTUBEPREMIUM 650-253-0000 CA,-22.99,bilt,subscriptions,flexible,expenditures
33,2024-06-29,LYFT 1 RIDE 06-27 8558659553 CA,-14.99,bilt,travel,luxuries,expenditures
34,2024-06-28,GOOGLE *GOOGLE STORAGE 650-253-0000 CA,-1.99,bilt,subscriptions,flexible,expenditures
